"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000001542.7",25,31,16,30,35,11
"ENSMUSG00000001552.14",4294,4122,2129,2430,3726,1112
"ENSMUSG00000001555.10",14,16,12,9,12,1
"ENSMUSG00000001558.5",14,11,3,4,9,6
"ENSMUSG00000001566.9",0,0,0,0,0,0
"ENSMUSG00000001569.10",979,968,652,598,878,201
"ENSMUSG00000001576.15",490,620,311,428,489,155
"ENSMUSG00000001583.13",1,2,1,0,1,0
"ENSMUSG00000001588.12",4166,4362,2580,2936,4089,1076
"ENSMUSG00000001604.14",1,2,1,0,2,0
"ENSMUSG00000001622.15",0,1,0,0,0,0
"ENSMUSG00000001627.12",626,657,354,302,418,122
"ENSMUSG00000001630.13",93,100,61,60,81,20
"ENSMUSG00000001632.16",1450,1288,735,719,1198,327
"ENSMUSG00000001642.18",223,237,187,181,248,45
"ENSMUSG00000001655.6",1,0,2,0,0,0
"ENSMUSG00000001656.3",0,2,0,0,0,0
"ENSMUSG00000001657.7",3,0,0,0,1,0
"ENSMUSG00000001661.5",0,3,0,0,0,0
"ENSMUSG00000001663.10",2,2,1,6,9,1
"ENSMUSG00000001665.11",9,8,4,7,12,5
"ENSMUSG00000001666.8",108,112,46,63,88,36
"ENSMUSG00000001670.13",1,3,2,0,2,1
"ENSMUSG00000001672.14",4,3,0,0,0,0
"ENSMUSG00000001674.11",442,412,238,252,397,108
"ENSMUSG00000001687.15",323,320,207,224,328,79
"ENSMUSG00000001700.10",743,786,452,525,722,196
"ENSMUSG00000001707.8",425,484,279,271,346,93
"ENSMUSG00000001729.14",1203,1277,765,839,1152,299
"ENSMUSG00000001739.14",19,23,10,10,12,6
"ENSMUSG00000001741.12",14678,14037,8128,9542,14601,3919
"ENSMUSG00000001750.16",572,646,360,421,543,152
"ENSMUSG00000001751.9",236,226,122,120,185,55
"ENSMUSG00000001755.12",444,464,280,260,363,94
"ENSMUSG00000001761.7",381,378,220,250,368,99
"ENSMUSG00000001763.14",13,22,15,17,14,1
"ENSMUSG00000001767.5",2827,2731,1713,1464,2208,548
"ENSMUSG00000001768.16",41,59,37,39,39,9
"ENSMUSG00000001773.14",0,4,0,4,1,1
"ENSMUSG00000001774.8",4666,4562,2768,2315,3454,886
"ENSMUSG00000001783.3",2974,2944,1765,1845,2719,706
"ENSMUSG00000001785.13",1464,1517,935,962,1354,341
"ENSMUSG00000001786.14",757,771,478,523,749,188
"ENSMUSG00000001794.13",3374,3327,2047,1912,2825,715
"ENSMUSG00000001802.16",1,6,1,0,0,0
"ENSMUSG00000001804.9",0,1,3,0,5,0
"ENSMUSG00000001815.15",0,0,1,0,0,0
"ENSMUSG00000001819.4",0,0,0,0,0,0
"ENSMUSG00000001823.5",0,0,0,0,0,0
"ENSMUSG00000001827.12",1,3,2,0,1,0
"ENSMUSG00000001829.17",663,628,413,423,651,154
"ENSMUSG00000001833.17",9519,9696,5741,6430,9203,2418
"ENSMUSG00000001844.10",149,158,87,86,118,35
"ENSMUSG00000001847.14",5656,5894,3248,3651,5105,1441
"ENSMUSG00000001855.15",3576,3831,2148,2187,2973,826
"ENSMUSG00000001864.13",3,5,3,4,3,0
"ENSMUSG00000001865.2",222,226,180,180,258,45
"ENSMUSG00000001870.16",198,140,112,69,148,28
"ENSMUSG00000001891.16",640,750,461,548,687,172
"ENSMUSG00000001901.15",6,1,5,3,8,0
"ENSMUSG00000001909.16",315,340,169,207,278,88
"ENSMUSG00000001910.5",461,519,306,295,382,101
"ENSMUSG00000001911.16",125,134,72,64,87,26
"ENSMUSG00000001918.17",1975,2664,1223,1473,1559,543
"ENSMUSG00000001924.15",18750,18829,10915,11251,16347,4385
"ENSMUSG00000001930.17",40,45,21,17,21,9
"ENSMUSG00000001942.8",751,803,504,453,618,152
"ENSMUSG00000001943.8",1,0,0,1,0,0
"ENSMUSG00000001946.14",18,19,13,9,12,2
"ENSMUSG00000001948.10",7,9,4,6,7,3
"ENSMUSG00000001962.8",1724,1703,1006,998,1474,389
"ENSMUSG00000001964.14",1508,1624,938,1176,1592,429
"ENSMUSG00000001983.7",400,394,249,219,323,80
"ENSMUSG00000001985.9",3,0,0,2,0,0
"ENSMUSG00000001986.16",190,190,118,118,172,43
"ENSMUSG00000001988.9",0,0,0,0,0,0
"ENSMUSG00000001995.9",224,212,137,113,175,42
"ENSMUSG00000001998.15",686,796,471,571,720,189
"ENSMUSG00000001999.15",627,597,437,366,555,115
"ENSMUSG00000002006.12",130,108,76,74,129,29
"ENSMUSG00000002007.5",0,6,2,8,5,2
"ENSMUSG00000002010.17",3511,3762,1908,2518,3412,1045
"ENSMUSG00000002012.13",47,40,19,15,30,12
"ENSMUSG00000002014.12",878,912,563,645,904,228
"ENSMUSG00000002015.5",4782,5037,2946,3185,4408,1173
"ENSMUSG00000002017.10",1136,1132,798,572,834,181
"ENSMUSG00000002020.15",61,43,25,14,39,12
"ENSMUSG00000002028.13",3678,3669,2333,2785,4066,994
"ENSMUSG00000002031.13",450,446,281,402,591,146
"ENSMUSG00000002032.17",1,3,0,0,1,0
"ENSMUSG00000002033.14",22700,19970,13483,15239,25169,5838
"ENSMUSG00000002043.17",257,219,122,162,284,81
"ENSMUSG00000002052.6",6806,6786,4080,3882,5679,1470
"ENSMUSG00000002055.9",2012,2263,1275,1276,1652,458
"ENSMUSG00000002057.4",13,20,7,14,13,7
"ENSMUSG00000002058.13",47,39,31,44,76,15
"ENSMUSG00000002059.18",11,8,5,1,6,2
"ENSMUSG00000002064.10",1347,1396,853,935,1316,335
"ENSMUSG00000002068.16",520,588,418,284,369,76
"ENSMUSG00000002076.12",0,5,0,0,5,0
"ENSMUSG00000002083.13",234,216,137,199,313,78
"ENSMUSG00000002100.15",3,1,0,2,1,0
"ENSMUSG00000002102.15",7657,7286,4609,4475,6852,1688
"ENSMUSG00000002103.16",560,631,312,383,492,157
"ENSMUSG00000002104.11",5,6,3,4,4,2
"ENSMUSG00000002105.15",96,68,39,41,94,27
"ENSMUSG00000002107.18",5577,5780,3351,4033,5673,1523
"ENSMUSG00000002108.10",28,34,22,15,16,3
"ENSMUSG00000002109.14",697,745,484,532,727,172
"ENSMUSG00000002111.8",95,114,73,80,97,23
"ENSMUSG00000002129.11",5375,5511,2941,3038,4321,1257
"ENSMUSG00000002147.18",3558,3478,1992,2149,3213,872
"ENSMUSG00000002190.13",0,0,1,0,2,0
"ENSMUSG00000002204.9",151,192,105,129,147,42
"ENSMUSG00000002205.16",918,956,537,685,958,266
"ENSMUSG00000002210.11",963,1023,638,730,1003,250
"ENSMUSG00000002221.11",1023,1148,646,651,845,235
"ENSMUSG00000002222.14",9093,9397,5634,3797,5357,1390
"ENSMUSG00000002227.15",728,740,432,447,642,172
"ENSMUSG00000002228.7",0,6,3,0,3,0
"ENSMUSG00000002233.13",24,22,21,15,24,1
"ENSMUSG00000002240.12",0,0,0,0,0,0
"ENSMUSG00000002249.21",36,43,24,18,21,6
"ENSMUSG00000002250.16",222,224,140,163,235,59
"ENSMUSG00000002257.8",4653,4149,2458,2274,3754,987
"ENSMUSG00000002265.17",8,9,5,5,7,1
"ENSMUSG00000002266.17",0,0,1,0,0,0
"ENSMUSG00000002274.13",73,75,47,51,73,18
"ENSMUSG00000002279.19",371,460,243,244,284,85
"ENSMUSG00000002280.11",501,519,319,315,443,112
"ENSMUSG00000002289.16",211,222,158,146,202,42
"ENSMUSG00000002297.16",865,960,564,583,766,203
"ENSMUSG00000002307.16",1482,1395,937,791,1221,282
"ENSMUSG00000002308.16",132,144,93,61,80,18
"ENSMUSG00000002319.16",215,197,118,105,169,45
"ENSMUSG00000002320.15",759,862,518,474,611,158
"ENSMUSG00000002324.8",34,22,17,32,67,15
"ENSMUSG00000002325.15",1045,902,580,468,796,194
"ENSMUSG00000002326.6",1259,1299,747,604,853,232
"ENSMUSG00000002329.7",871,877,496,455,660,183
"ENSMUSG00000002332.16",853,888,482,597,834,240
"ENSMUSG00000002341.8",0,0,0,0,0,0
"ENSMUSG00000002342.17",309,325,210,211,292,69
"ENSMUSG00000002343.11",272,333,178,244,289,85
"ENSMUSG00000002345.18",726,584,386,321,589,141
"ENSMUSG00000002346.16",79,118,53,77,72,27
"ENSMUSG00000002365.10",124,155,72,68,77,28
"ENSMUSG00000002372.9",2383,2357,1172,1240,1839,571
"ENSMUSG00000002379.7",915,846,495,476,757,202
"ENSMUSG00000002384.2",0,0,0,0,0,0
"ENSMUSG00000002393.14",11,11,6,2,3,1
"ENSMUSG00000002395.14",602,510,361,268,461,101
"ENSMUSG00000002396.8",125,136,74,117,156,46
"ENSMUSG00000002409.18",635,668,320,361,498,163
"ENSMUSG00000002413.15",528,533,284,344,498,146
"ENSMUSG00000002416.13",404,435,258,219,295,78
"ENSMUSG00000002428.12",1398,1542,944,1087,1441,365
"ENSMUSG00000002455.14",3155,3114,1832,2017,2982,789
"ENSMUSG00000002458.13",591,576,291,356,537,165
"ENSMUSG00000002459.17",0,2,1,0,1,0
"ENSMUSG00000002475.16",2,4,0,2,1,1
