"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT014136","mmu","mmu","mmu-miR-181a-5p","Aldh3a2","0","0","0","0","1","0","0","0","1","1"
"MIRT014346","mmu","mmu","mmu-miR-181a-5p","Ank1","0","0","0","0","1","0","0","0","1","1"
"MIRT014187","mmu","mmu","mmu-miR-181a-5p","Ank3","0","0","0","0","1","0","0","0","1","1"
"MIRT014167","mmu","mmu","mmu-miR-181a-5p","Apba2","0","0","0","0","1","0","0","0","1","1"
"MIRT014095","mmu","mmu","mmu-miR-181a-5p","Aplp2","0","0","0","0","1","0","0","0","1","1"
"MIRT014221","mmu","mmu","mmu-miR-181a-5p","Aqp4","0","0","0","0","1","0","0","0","1","1"
"MIRT014093","mmu","mmu","mmu-miR-181a-5p","Arf2","0","0","0","0","1","0","0","0","1","1"
"MIRT014319","mmu","mmu","mmu-miR-181a-5p","Astn1","0","0","0","0","1","0","0","0","1","1"
"MIRT014236","mmu","mmu","mmu-miR-181a-5p","Atp2b2","0","0","0","0","1","0","0","0","1","1"
"MIRT014296","mmu","mmu","mmu-miR-181a-5p","Atp6v1a","0","0","0","0","1","0","0","0","1","1"
"MIRT014158","mmu","mmu","mmu-miR-181a-5p","Bach1","0","0","0","0","1","0","0","0","1","1"
"MIRT014041","mmu","mmu","mmu-miR-181a-5p","Bicd1","0","0","0","0","1","0","0","0","1","1"
"MIRT014033","mmu","mmu","mmu-miR-181a-5p","Cab39","0","0","0","0","1","0","0","0","1","1"
"MIRT014284","mmu","mmu","mmu-miR-181a-5p","Cacna1e","0","0","0","0","1","0","0","0","1","1"
"MIRT014088","mmu","mmu","mmu-miR-181a-5p","Car2","0","0","0","0","1","0","0","0","1","1"
"MIRT014426","mmu","mmu","mmu-miR-181a-5p","Entpd6","0","0","0","0","1","0","0","0","1","1"
"MIRT014065","mmu","mmu","mmu-miR-181a-5p","Arhgap31","0","0","0","0","1","0","0","0","1","1"
"MIRT014387","mmu","mmu","mmu-miR-181a-5p","Cenpb","0","0","0","0","1","0","0","0","1","1"
"MIRT014061","mmu","mmu","mmu-miR-181a-5p","Col4a1","0","0","0","0","1","0","0","0","1","1"
"MIRT014330","mmu","mmu","mmu-miR-181a-5p","Creb1","0","0","0","0","1","0","0","0","1","1"
"MIRT014211","mmu","mmu","mmu-miR-181a-5p","Crk","0","0","0","0","1","0","0","0","1","1"
"MIRT014173","mmu","mmu","mmu-miR-181a-5p","Ctbp1","0","0","0","0","1","0","0","0","1","1"
"MIRT014267","mmu","mmu","mmu-miR-181a-5p","Ctsb","0","0","0","0","1","0","0","0","1","1"
"MIRT014036","mmu","mmu","mmu-miR-181a-5p","Celf1","0","0","0","0","1","0","0","0","1","1"
"MIRT014332","mmu","mmu","mmu-miR-181a-5p","Dclk1","0","0","0","0","1","0","0","0","1","1"
"MIRT014126","mmu","mmu","mmu-miR-181a-5p","Dcx","0","0","0","0","1","0","0","0","1","1"
"MIRT014074","mmu","mmu","mmu-miR-181a-5p","E2f3","0","0","0","0","1","0","0","0","1","1"
