"","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","padj","gene_symbol"
"Abhd12",0.0973257139070105,5.09624693917264,0.484739111786486,0.640514909855262,0.886146358176323,-6.50066129935228,"Abhd12",3,0.481527307107011,0.642581772110413,0.878676461966419,"Abhd12"
"Rfxap",-0.0560312807004957,6.51119037007101,-0.496340324842482,0.632653538033427,0.883007460224506,-6.49456904485449,"Rfxap",5,-0.481372957839728,0.642686912598788,0.878676461966419,"Rfxap"
"Trappc13",0.0482490691972632,6.73140352901256,0.594929625672596,0.567902461928241,0.858101774937584,-6.43738936107144,"Trappc13",4,0.481108027915722,0.642867398882546,0.878676461966419,"Trappc13"
"Mrpl57",0.105776391182462,6.09609162470168,0.518727088084617,0.617623090464432,0.874193882830153,-6.48243049037788,"Mrpl57",3,0.481026984144431,0.642922615809778,0.878676461966419,"Mrpl57"
"Kiaa0753",-0.103231635371918,2.92086007185633,-0.470936250785434,0.649931118436116,0.890313357819797,-6.50773248483404,"Kiaa0753",2,-0.480987287911721,0.642949662593849,0.878676461966419,"Kiaa0753"
"Gnpda1",-0.0431160215572604,8.31681745192681,-0.46044553480028,0.657132751764314,0.893374016808528,-6.51297749728012,"Gnpda1",10,-0.480745472265285,0.643114434356123,0.878682193457355,"Gnpda1"
"Stambpl1",-0.0842651953497331,7.43655755398117,-0.493572361249449,0.634524768595287,0.884114109822963,-6.49603493700487,"Stambpl1",5,-0.480508305108231,0.643276058949482,0.87868362320808,"Stambpl1"
"Vapb",0.0473957159709641,8.96934077266032,0.456780566824357,0.659657688346503,0.894300255100575,-6.51478344123534,"Vapb",9,0.479483195648622,0.643974881081566,0.879315002602015,"Vapb"
"Atad1",0.0357590243335046,9.75330290656348,0.493774642891005,0.634387925312869,0.884114109822963,-6.49592807154654,"Atad1",14,0.479171007874508,0.644187775450914,0.879315002602015,"Atad1"
"Mafk",-0.153597592682484,4.87784435167364,-0.485251802724516,0.640166466114835,0.886146358176323,-6.50039493379505,"Mafk",3,-0.479123220950827,0.644220366489671,0.879315002602015,"Mafk"
