"","ID_REF","T.DP.Th_1","T.DP.Th_2","mean","stdiv"
"154","let-7g-5p",247.7828393,265.5729784,256.67790885,12.5795279958619
"627","miR-3084-5p",321.0106012,184.1279641,252.56928265,96.7906409201073
"695","miR-3068-3p",300.6871509,153.9400347,227.3135928,103.76588098459
"332","let-7d-3p",243.6759071,205.2314982,224.45370265,27.1843022318984
"116","miR-19a-3p",105.7136329,294.992488,200.35306045,133.840361976436
"166","miR-142a-5p",199.3330194,184.1810558,191.7570376,10.7140562098517
"185","miR-19b-3p",139.3858827,242.6742788,191.03008075,73.0359253001921
"252","miR-93-5p",225.2415476,154.9124854,190.0770165,49.7301567961105
"139","miR-25-3p",139.2809527,238.3541508,188.81755175,70.0553302103482
"120","miR-23b-3p",164.2812836,169.5191869,166.90023525,3.70375694262939
"238","miR-7a-5p",134.6781916,186.6191288,160.6486602,36.7277889153046
"491","miR-3084-3p",179.7034607,83.99475901,131.849109855,67.6762719835594
"353","miR-15b-3p",101.8016826,127.7166168,114.7591497,18.3246257068232
"294","miR-15a-5p",93.49480702,135.7237446,114.60927581,29.8603681251214
"192","miR-350-3p",45.85408261,149.4356386,97.644860605,73.2432206463831
"25","miR-92a-3p",106.4528403,84.6097147,95.5312775,15.4454222340695
"237","miR-140-5p",81.17891353,108.8289245,95.003919015,19.5515102567694
"481","miR-877-3p",139.6764177,47.15793361,93.417175655,65.4204474851387
"80","let-7a-5p",71.84257791,106.4987137,89.170645805,24.5055886268308
"164","miR-106a-5p",122.9996462,50.03356161,86.516603905,51.5948132102202
"573","miR-677-3p",121.1630784,49.05896998,85.11102419,50.985304015192
"251","miR-7b-5p",84.86842689,72.72691463,78.79767076,8.5853456529056
"171","miR-92b-3p",63.34094467,86.35722973,74.8490872,16.2749712436486
"101","miR-29a-3p",17.65313376,130.4405335,74.04683363,79.7527351885518
"338","miR-1187",68.1159161,79.32033526,73.71812568,7.92272076729247
"129","miR-323-5p",71.54184776,47.32803957,59.434943665,17.1217479694994
"274","miR-423-3p",49.0669746,58.11974033,53.593357465,6.40127203617618
"356","miR-181a-1-3p",53.27978874,52.5398823,52.90983552,0.523192861167596
"222","miR-130b-3p",29.97854436,71.18449783,50.581521095,29.1370091238943
"345","miR-130b-5p",36.0638128,60.77536337,48.419588085,17.4737049816813
"138","miR-30b-5p",37.22853093,57.13425606,47.181393495,14.0754732238585
"290","miR-223-3p",53.3425192,40.72833091,47.035425055,8.91957807902294
"918","miR-374b-5p",34.02364399,58.22847655,46.12606027,17.1154012406609
"287","miR-421-3p",42.14484824,48.40172679,45.273287515,4.42428125176565
"753","miR-1843a-3p",30.5025907,59.85491923,45.178754965,20.7552305471784
"22","miR-191-5p",31.72742389,57.43107447,44.57924918,18.1752256263675
"249","miR-429-3p",58.10551615,27.04184721,42.57368168,21.9653309560079
"327","miR-423-5p",51.93746519,32.05687455,41.99716987,14.0577004555378
"96","miR-744-5p",31.59139493,50.27917708,40.935286005,13.2142574836019
"78","miR-30d-5p",32.38700449,46.48369803,39.43535126,9.9678675944426
"475","miR-709",29.96536654,47.72748063,38.846423585,12.5597113212481
"60","miR-21a-5p",37.18105751,36.05370451,36.61738101,0.797158951090997
"638","miR-25-5p",35.03310558,30.97849362,33.0057996,2.86704361199608
"85","miR-22-3p",19.40075972,46.45310954,32.92693463,19.1289000047527
"98","miR-155-5p",45.95135276,18.62059865,32.285975705,19.3257615661231
"658","miR-669o-5p",43.58181525,20.52681768,32.054316465,16.3023451219864
